diacritical_marks_vietnamese,no_accents_mark_vietnamese
Chúng ta đi tiếp thôi nào.,Chung ta di tiep thoi nao.
Chúng ta tiếp tục thôi nào.,Chung ta tiep tuc thoi nao.
Mắt tôi đang bị đau.,Mat toi dang bi dau.
Chỗ của tôi ở đây.,Cho cua toi o day.
Chỗ của tao ở đây.,Cho cua tao o day.
Những con vẹt hát được.,Nhung con vet hat duoc.
Người người đang chết dần.,Nguoi nguoi dang chet dan.
Làm ơn đừng khóc.,Lam on dung khoc.
Đặt cái hộp xuống.,Dat cai hop xuong.
Hiện tại nó có vẻ ổn.,Hien tai no co ve on.
Hiện tại cô ta có vẻ ổn.,Hien tai co ta co ve on.
Hiện tại cô ấy có vẻ ổn.,Hien tai co ay co ve on.
Hiện tại chị ấy có vẻ ổn.,Hien tai chi ay co ve on.
Hiện tại bà ấy có vẻ ổn.,Hien tai ba ay co ve on.
Hãy đưa Tom ra ngoài đi.,Hay dua Tom ra ngoai di.
Đưa Tom ra ngoài đi.,Dua Tom ra ngoai di.
Pin chết.,Pin chet.
Lũ chó bị ướt sũng.,Lu cho bi uot sung.
Không có giới hạn nào cả.,Khong co gioi han nao ca.
Họ đều yêu tôi.,Ho deu yeu toi.
Họ bắt tôi.,Ho bat toi.
Cái này không vừa.,Cai nay khong vua.
Đây là xăng.,Day la xang.
Sẽ vui đây.,Se vui day.
Tom đã khỏe lại.,Tom da khoe lai.
Tom chắc chắn sẽ thắng.,Tom chac chan se thang.
Tom đã bị tử hình.,Tom da bi tu hinh.
Tom đang ở tầng dưới.,Tom dang o tang duoi.
Tom đang ở dưới nhà.,Tom dang o duoi nha.
Hãy thử một cánh cửa khác.,Hay thu mot canh cua khac.
Chúng ta có thể làm tốt hơn.,Chung ta co the lam tot hon.
Chúng tôi có thể làm tốt hơn.,Chung toi co the lam tot hon.
Chúng ta không thể bỏ cuộc.,Chung ta khong the bo cuoc.
Chúng ta không thể từ bỏ.,Chung ta khong the tu bo.
Chúng tôi không thể bỏ cuộc.,Chung toi khong the bo cuoc.
Chúng tôi không có nước.,Chung toi khong co nuoc.
Chúng ta không có nước.,Chung ta khong co nuoc.
Chúng tôi từng đánh nhau.,Chung toi tung danh nhau.
Chúng tôi từng đối đầu nhau.,Chung toi tung doi dau nhau.
Chúng tôi từng cãi nhau.,Chung toi tung cai nhau.
Bạn muốn gì?,Ban muon gi?
Mình đã làm gì chứ?,Minh da lam gi chu?
Thật là xui xẻo!,That la xui xeo!
Xui quá!,Xui qua!
Thật là xúi quẩy!,That la xui quay!
Tên bạn là gì?,Ten ban la gi?
Đậu xe ở đâu vậy?,Dau xe o dau vay?
Lược của tôi đâu rồi?,Luoc cua toi dau roi?
Chó đâu rồi?,Cho dau roi?
Con chó đâu rồi?,Con cho dau roi?
Chó mô rồi?,Cho mo roi?
Đồ ăn đâu rồi?,Do an dau roi?
Đồ ăn đâu?,Do an dau?
Con chó của cậu đâu rồi?,Con cho cua cau dau roi?
Bạn đã gặp ai vậy?,Ban da gap ai vay?
Bạn đã gặp ai thế?,Ban da gap ai the?
Đến lượt ai đây?,Den luot ai day?
Bây giờ đến lượt ai?,Bay gio den luot ai?
Mùa đông đang đến.,Mua dong dang den.
Mùa đông đang tới.,Mua dong dang toi.
Cô ấy đã không nói nên lời.,Co ay da khong noi nen loi.
Anh hãy viết bằng bút mực.,Anh hay viet bang but muc.
Tôi khiến Tom khóc.,Toi khien Tom khoc.
Bạn sẽ hối hận về điều đó.,Ban se hoi han ve dieu do.
Bạn rất tốt bụng.,Ban rat tot bung.
Một con la đã đá vào Tom.,Mot con la da da vao Tom.
Một cơn bão sắp đến.,Mot con bao sap den.
Trời có vẻ sắp bão rồi.,Troi co ve sap bao roi.
Tôi bị bắt à?,Toi bi bat a?
Bạn có phải là ma cà rồng không?,Ban co phai la ma ca rong khong?
Bạn có phải là ma cà rồng hay không?,Ban co phai la ma ca rong hay khong?
Bạn có sao không?,Ban co sao khong?
Bạn có làm sao không?,Ban co lam sao khong?
"Tom này, bạn có bận không?","Tom nay, ban co ban khong?"
Bạn đang vội à?,Ban dang voi a?
Cậu không đói sao?,Cau khong doi sao?
Thịt bò rất đắt.,Thit bo rat dat.
Gọi xe cứu thương đi.,Goi xe cuu thuong di.
Gọi xe cấp cứu đi.,Goi xe cap cuu di.
Gọi cấp cứu đi.,Goi cap cuu di.
Thanh toán bằng Visa được chứ?,Thanh toan bang Visa duoc chu?
Bạn có thể cho tôi vài lời khuyên được không?,Ban co the cho toi vai loi khuyen duoc khong?
Bạn có giải mã được cái đó không?,Ban co giai ma duoc cai do khong?
Bạn có cảm nhận được điều đó không?,Ban co cam nhan duoc dieu do khong?
"Thôi nào, thừa nhận đi.","Thoi nao, thua nhan di."
"Thôi nào, nhanh lên đi.","Thoi nao, nhanh len di."
Tom có quen Mary không?,Tom co quen Mary khong?
Tom có cần giúp đỡ không?,Tom co can giup do khong?
Bạn có ô tô không?,Ban co o to khong?
Cô ấy có biết bạn không vậy?,Co ay co biet ban khong vay?
Cô ấy có biết bạn không?,Co ay co biet ban khong?
Đừng có trẻ con như vậy.,Dung co tre con nhu vay.
Đừng cản tôi lúc này.,Dung can toi luc nay.
Đừng ngăn cản tôi lúc này.,Dung ngan can toi luc nay.
Đừng ngăn tôi lại lúc này.,Dung ngan toi lai luc nay.
Đừng nói chuyện với Tom.,Dung noi chuyen voi Tom.
Dục tốc bất đạt.,Duc toc bat dat.
Anh ấy đã đến nơi an toàn.,Anh ay da den noi an toan.
Anh ấy không có xe đạp.,Anh ay khong co xe dap.
Ông ấy không có xe đạp.,Ong ay khong co xe dap.
Có lẽ hôm nay anh ấy sẽ đến đấy.,Co le hom nay anh ay se den day.
Anh ta đẩy qua tôi.,Anh ta day qua toi.
Ông ấy nói tiếng Anh.,Ong ay noi tieng Anh.
Anh ấy nói tiếng Anh.,Anh ay noi tieng Anh.
Anh ấy đã quẹt diêm.,Anh ay da quet diem.
Ông ta đã quẹt một que diêm.,Ong ta da quet mot que diem.
"A, có tuyết kìa!","A, co tuyet kia!"
Dừng lại đây đã.,Dung lai day da.
Bạn đã trả lời như thế nào?,Ban da tra loi nhu the nao?
Ba của bạn sao rồi?,Ba cua ban sao roi?
Tôi đồng tình với Tom.,Toi dong tinh voi Tom.
Tôi đang ăn hoa quả.,Toi dang an hoa qua.
Tôi thật sự rất xin lỗi.,Toi that su rat xin loi.
Tôi vô cùng xin lỗi.,Toi vo cung xin loi.
Ông có thể nói lại một lần nữa được không ạ?,Ong co the noi lai mot lan nua duoc khong a?
Cô có thể nói lại được không ạ?,Co co the noi lai duoc khong a?
Tôi có thể gọi một cuộc.,Toi co the goi mot cuoc.
Tôi không thể thực hiện nó lúc này.,Toi khong the thuc hien no luc nay.
Tôi không thể chịu được anh ta.,Toi khong the chiu duoc anh ta.
Tôi bơi không giỏi.,Toi boi khong gioi.
Tôi không ăn bánh mì.,Toi khong an banh mi.
Tôi bơi không giỏi.,Toi boi khong gioi.
Tôi có một cái máy tính.,Toi co mot cai may tinh.
Tôi có một cái máy vi tính.,Toi co mot cai may vi tinh.
Tôi có một chiếc máy tính.,Toi co mot chiec may tinh.
Tôi có một chiếc máy vi tính.,Toi co mot chiec may vi tinh.
Tôi bị nhức đầu.,Toi bi nhuc dau.
Tôi bị đau đầu.,Toi bi dau dau.
Tôi có vài món quà.,Toi co vai mon qua.
Tôi biết trượt tuyết.,Toi biet truot tuyet.
Tôi thích bận rộn.,Toi thich ban ron.
Tôi thích bộ râu của bạn.,Toi thich bo rau cua ban.
Tôi phải rời khỏi đây.,Toi phai roi khoi day.
Tôi thực sự thích anh ta.,Toi thuc su thich anh ta.
Tôi thực sự thích cậu ta.,Toi thuc su thich cau ta.
Tôi đã nói là tôi sẽ làm mà.,Toi da noi la toi se lam ma.
Tôi nghĩ là Tom đang ở bên trong.,Toi nghi la Tom dang o ben trong.
Tôi muốn nhiều hơn.,Toi muon nhieu hon.
Tôi không liên quan.,Toi khong lien quan.
Tôi không có liên quan.,Toi khong co lien quan.
Tôi đã tới vườn thú.,Toi da toi vuon thu.
Tôi sẽ đến một lần.,Toi se den mot lan.
Tôi sẽ ăn bất cứ thứ gì.,Toi se an bat cu thu gi.
Tôi sẽ đi học.,Toi se di hoc.
Tôi là anh trai Tom.,Toi la anh trai Tom.
Tôi là em trai Tom.,Toi la em trai Tom.
Tôi là anh trai của Tom.,Toi la anh trai cua Tom.
Tôi là em trai của Tom.,Toi la em trai cua Tom.
Tôi là con người.,Toi la con nguoi.
Tôi sẽ đi bơi.,Toi se di boi.
Có phần thưởng hay không?,Co phan thuong hay khong?
Đây có phải vấn đề không?,Day co phai van de khong?
Nó chẳng có ý nghĩa gì cả.,No chang co y nghia gi ca.
Thật vui.,That vui.
Đó là một chiếc đàn piano cũ.,Do la mot chiec dan piano cu.
Với Tom nó chỉ là chuyện nhỏ.,Voi Tom no chi la chuyen nho.
Tình hình bắt đầu trở nên tồi tệ.,Tinh hinh bat dau tro nen toi te.
Nó là một phần của cuộc sống.,No la mot phan cua cuoc song.
Đã đến lúc trả đũa rồi.,Da den luc tra dua roi.
Đến lúc trả đũa rồi.,Den luc tra dua roi.
Đã đến lúc trả thù rồi.,Da den luc tra thu roi.
Đã đến giờ đi ngủ.,Da den gio di ngu.
Giữ tóc của bạn ở đó!,Giu toc cua ban o do!
Đừng làm điều đó.,Dung lam dieu do.
Cuộc đời quá ngắn ngủi.,Cuoc doi qua ngan ngui.
Nhà tôi bẩn lắm.,Nha toi ban lam.
Làm ơn nghiêm túc đi.,Lam on nghiem tuc di.
Vật giá đang tăng.,Vat gia dang tang.
Cô ấy làm tôi phát điên.,Co ay lam toi phat dien.
Cô ấy thích đọc sách báo.,Co ay thich doc sach bao.
Cô ta bán hoa.,Co ta ban hoa.
Cô ấy là một giáo viên.,Co ay la mot giao vien.
Vui lòng ký vào đây.,Vui long ky vao day.
Im lặng là vàng.,Im lang la vang.
Có ai đó đang hát.,Co ai do dang hat.
Cám ơn Tom rất nhiều.,Cam on Tom rat nhieu.
Không thể có chuyện đó.,Khong the co chuyen do.
Cô gái kia là Mary.,Co gai kia la Mary.
Điều đó sẽ không xảy ra.,Dieu do se khong xay ra.
Điều đó sẽ không xảy ra đâu.,Dieu do se khong xay ra dau.
Đó là tất cả những gì mà tôi có.,Do la tat ca nhung gi ma toi co.
Mặt trời đang lên.,Mat troi dang len.
Cái va li đang mở.,Cai va li dang mo.
Cái thùng xe hơi đang mở.,Cai thung xe hoi dang mo.
Không có giới hạn nào cả.,Khong co gioi han nao ca.
Họ chưa đi.,Ho chua di.
Họ đã đi câu cá.,Ho da di cau ca.
Chúng nó cưới nhau rồi.,Chung no cuoi nhau roi.
Họ đã lấy nhau rồi.,Ho da lay nhau roi.
Họ lấy nhau rồi.,Ho lay nhau roi.
Bọn họ đã lấy nhau rồi.,Bon ho da lay nhau roi.
Tất cả bọn họ đều đang chết dần.,Tat ca bon ho deu dang chet dan.
Con chó này màu trắng.,Con cho nay mau trang.
Tom không cười.,Tom khong cuoi.
Tom không đội mũ,Tom khong doi mu
Tom đang ở phía sau bạn.,Tom dang o phia sau ban.
Tom đang ở đằng sau bạn đấy.,Tom dang o dang sau ban day.
Tom là anh trai của tôi.,Tom la anh trai cua toi.
Tom là em trai của tôi.,Tom la em trai cua toi.
Tom đang dần hồi phục.,Tom dang dan hoi phuc.
Tom không nghỉ.,Tom khong nghi.
Tom không nghỉ ngơi.,Tom khong nghi ngoi.
Tom muốn đi bơi.,Tom muon di boi.
Tom đã bị chán nản.,Tom da bi chan nan.
Tom đã ở trên thiên đường.,Tom da o tren thien duong.
Tôi không biết tại sao.,Toi khong biet tai sao.
Chúng tôi cho họ đồ ăn.,Chung toi cho ho do an.
Chúng tôi tặng họ thức ăn.,Chung toi tang ho thuc an.
Tụi tao biết bài hát này.,Tui tao biet bai hat nay.
Chúng tôi biết bài hát này.,Chung toi biet bai hat nay.
Để Tom thử đi.,De Tom thu di.
Chúng tôi đều rất hứng thú.,Chung toi deu rat hung thu.
Bạn đã tạo ra cái gì rồi ?,Ban da tao ra cai gi roi ?
Chúng ta sẽ làm gì bây giờ?,Chung ta se lam gi bay gio?
Bạn sống ở đâu?,Ban song o dau?
Cái nào là của bạn?,Cai nao la cua ban?
Sao anh ta không đến được?,Sao anh ta khong den duoc?
Tại sao anh ta không thể đến được?,Tai sao anh ta khong the den duoc?
Bạn đẹp quá.,Ban dep qua.
Bạn có thể giúp tôi.,Ban co the giup toi.
Bạn phải nhanh lên.,Ban phai nhanh len.
Bạn phải nhanh lên.,Ban phai nhanh len.
Bạn phải nhanh lên.,Ban phai nhanh len.
Bạn nên thử nó.,Ban nen thu no.
Cậu không nên nói dối.,Cau khong nen noi doi.
Hai người ở lại đây.,Hai nguoi o lai day.
Sách của bạn ở đây.,Sach cua ban o day.
Quyển sách của bạn ở chỗ này.,Quyen sach cua ban o cho nay.
Con mèo có hai cái tai.,Con meo co hai cai tai.
Anh đổ lỗi cho tôi ư?,Anh do loi cho toi u?
Hôm nay ban có rãnh không?,Hom nay ban co ranh khong?
Ở đây bạn có hạnh phúc?,O day ban co hanh phuc?
Hãy cho tôi xem cái kia.,Hay cho toi xem cai kia.
Bạn có chơi bóng đá không?,Ban co choi bong da khong?
Đi ăn không?,Di an khong?
Bạn có muốn xem không?,Ban co muon xem khong?
Tom có biết Mary không?,Tom co biet Mary khong?
Có đau lắm không?,Co dau lam khong?
Tất cả mọi người đều ghét Tom.,Tat ca moi nguoi deu ghet Tom.
Mọi người đều thích cô ấy.,Moi nguoi deu thich co ay.
Tất cả mọi người đều thích cô ấy.,Tat ca moi nguoi deu thich co ay.
Qua bên này đi Tom.,Qua ben nay di Tom.
Đưa tôi cái chai đó đi.,Dua toi cai chai do di.
Hãy đưa tôi cái chai đó.,Hay dua toi cai chai do.
Hãy đưa cho tôi cái chai đó.,Hay dua cho toi cai chai do.
Hãy đưa cho tôi cái chai đó đi.,Hay dua cho toi cai chai do di.
Anh ta quay trở lại vào lúc 6 giờ.,Anh ta quay tro lai vao luc 6 gio.
Anh ta quay trở lại vào lúc 6 giờ.,Anh ta quay tro lai vao luc 6 gio.
Nó sẽ không thích cái này.,No se khong thich cai nay.
Anh ấy sẽ không thích cái này.,Anh ay se khong thich cai nay.
Nó sẽ không ưa cái này.,No se khong ua cai nay.
Ông ta sẽ không ưa cái này.,Ong ta se khong ua cai nay.
Nó sẽ không thích điều này.,No se khong thich dieu nay.
Nó sẽ không thích việc này.,No se khong thich viec nay.
Anh ấy là một người kiên trì.,Anh ay la mot nguoi kien tri.
Xe buýt đến rồi.,Xe buyt den roi.
Tôi có thể cưỡi ngựa.,Toi co the cuoi ngua.
Tôi biết cưỡi ngựa.,Toi biet cuoi ngua.
Tôi không tin!,Toi khong tin!
Tôi không thể tin được.,Toi khong the tin duoc.
Hôm nay tôi không thể làm việc.,Hom nay toi khong the lam viec.
Tôi không cần giường.,Toi khong can giuong.
Tôi không tin họ.,Toi khong tin ho.
Tôi không tin tưởng bọn họ.,Toi khong tin tuong bon ho.
Tôi không hiểu.,Toi khong hieu.
Tôi không đeo cà vạt.,Toi khong deo ca vat.
Tôi mơ đến bạn.,Toi mo den ban.
Tôi đã đánh rơi quả táo của mình.,Toi da danh roi qua tao cua minh.
Tôi hứa.,Toi hua.
Tôi bảo Tom làm rồi.,Toi bao Tom lam roi.
Tôi phải nhìn thấy nó,Toi phai nhin thay no
Tôi đã giúp Tom làm điều đó.,Toi da giup Tom lam dieu do.
Tôi đã giúp Tom làm việc đó.,Toi da giup Tom lam viec do.
Hy vọng bạn thích nó.,Hy vong ban thich no.
Tôi vẫn chưa biết gì cả.,Toi van chua biet gi ca.
Tôi vẫn chưa biết gì hết.,Toi van chua biet gi het.
Tôi thích ánh nến.,Toi thich anh nen.
Tôi rất thích món ăn Hàn Quốc.,Toi rat thich mon an Han Quoc.
Tôi cực kỳ thích ẩm thực Hàn Quốc.,Toi cuc ky thich am thuc Han Quoc.
Tôi yêu căn nhà đó.,Toi yeu can nha do.
Tôi đã bắt Tom làm điều đó.,Toi da bat Tom lam dieu do.
Tôi đã bắt Tom làm việc đó.,Toi da bat Tom lam viec do.
Tôi cần lời chỉ bảo của bạn.,Toi can loi chi bao cua ban.
Tôi đã ra đầu thú.,Toi da ra dau thu.
Tôi đi bộ đến trường.,Toi di bo den truong.
Tôi đi bộ tới trường.,Toi di bo toi truong.
Tôi đã chơi ở đây.,Toi da choi o day.
Tôi không giúp bạn đâu.,Toi khong giup ban dau.
Hôm nay tôi sẽ không đến.,Hom nay toi se khong den.
Hôm nay tôi sẽ không tới.,Hom nay toi se khong toi.
Tôi sẽ không đến hôm nay.,Toi se khong den hom nay.
Tôi sẽ không tới hôm nay.,Toi se khong toi hom nay.
Tôi đã viết nó cho Tom.,Toi da viet no cho Tom.
Tôi sẽ thử.,Toi se thu.
Tôi sẽ thử xem sao.,Toi se thu xem sao.
Tôi là một phó nháy.,Toi la mot pho nhay.
Tôi đang ở trong thư viện.,Toi dang o trong thu vien.
Tôi không phải người mù chữ.,Toi khong phai nguoi mu chu.
Tôi không phải là kẻ thù.,Toi khong phai la ke thu.
Tôi vẫn đang bị sốc.,Toi van dang bi soc.
Tôi đang viết một cuốn sách.,Toi dang viet mot cuon sach.
Tôi là trợ lý của bạn.,Toi la tro ly cua ban.
Tom có tỉnh không?,Tom co tinh khong?
Cô ấy là em gái bạn à?,Co ay la em gai ban a?
Sẽ ổn thôi.,Se on thoi.
Một ý tưởng đáng yêu.,Mot y tuong dang yeu.
Có lẽ là trời sắp mưa.,Co le la troi sap mua.
Chắc có lẽ trời sắp mưa rồi.,Chac co le troi sap mua roi.
Chắc có lẽ trời sắp mưa rồi.,Chac co le troi sap mua roi.
Tri thức là sức mạnh.,Tri thuc la suc manh.
Chúng ta ly hôn đi.,Chung ta ly hon di.
Chúng mình ly hôn đi.,Chung minh ly hon di.
Hay là chúng ta ly hôn đi.,Hay la chung ta ly hon di.
Tôi đau chân phải.,Toi dau chan phai.
Xin đừng đứng lên.,Xin dung dung len.
"Vào vị trí, sẵn sàng, chạy!","Vao vi tri, san sang, chay!"
"Vào vị trí, sẵn sàng, bơi!","Vao vi tri, san sang, boi!"
Cô ấy có mắt xanh.,Co ay co mat xanh.
Cô ấy có đôi mắt xanh.,Co ay co doi mat xanh.
Chị ấy lúc nào cũng rất bận.,Chi ay luc nao cung rat ban.
Cô ấy thực sự dễ thương.,Co ay thuc su de thuong.
Hãy cho tôi một ví dụ.,Hay cho toi mot vi du.
Có ai đó đang hát.,Co ai do dang hat.
Có ai đó đang hát.,Co ai do dang hat.
Hãy nhấp thử một ngụm.,Hay nhap thu mot ngum.
Nhấp thử một ngụm đi.,Nhap thu mot ngum di.
Con búp bê kia thật đáng sợ.,Con bup be kia that dang so.
Cái đó nhìn hấp dẫn.,Cai do nhin hap dan.
Đó không phải là quyết định của tôi.,Do khong phai la quyet dinh cua toi.
Đó là một ý kiến hay!,Do la mot y kien hay!
Đó là một ý tưởng hay!,Do la mot y tuong hay!
Ý hay đấy!,Y hay day!
Đó không phải là quyết định của tôi.,Do khong phai la quyet dinh cua toi.
Con chó đang sủa.,Con cho dang sua.
Cả hai người họ đều đã làm tốt.,Ca hai nguoi ho deu da lam tot.
Hai người đó đều đã làm tốt.,Hai nguoi do deu da lam tot.
Họ vẫn muốn nó.,Ho van muon no.
Họ vẫn muốn cái đó.,Ho van muon cai do.
Họ đã bị còng tay.,Ho da bi cong tay.
Họ không đói.,Ho khong doi.
Điều này thật đáng chú ý.,Dieu nay that dang chu y.
Cái này rất rẻ.,Cai nay rat re.
Cái này vô cùng rẻ.,Cai nay vo cung re.
Cái này cực kỳ rẻ.,Cai nay cuc ky re.
Đó không phải là một con hổ.,Do khong phai la mot con ho.
Cái dao này bị cùn.,Cai dao nay bi cun.
Chiếc dao này bị cùn.,Chiec dao nay bi cun.
Tom đã đồng ý giúp đỡ.,Tom da dong y giup do.
Tom suýt (mém) bị đuối nước.,Tom suyt (mem) bi duoi nuoc.
Tom hầu như không nhìn thấy gì.,Tom hau nhu khong nhin thay gi.
Tom làm việc tốt.,Tom lam viec tot.
Tom đã ngã ra sau.,Tom da nga ra sau.
Tom là một người yêu mèo.,Tom la mot nguoi yeu meo.
Tom là dân nhà quê.,Tom la dan nha que.
Tom là một người chủ nghĩa xã hội.,Tom la mot nguoi chu nghia xa hoi.
Tom đang ở trên mái nhà.,Tom dang o tren mai nha.
Tom quả là một người đàn ông lực lưỡng.,Tom qua la mot nguoi dan ong luc luong.
Tom không phải là số một.,Tom khong phai la so mot.
Tom không phải là người giỏi nhất.,Tom khong phai la nguoi gioi nhat.
Tom đã tự sát.,Tom da tu sat.
Tom đã tự tử.,Tom da tu tu.
Tom đã tự vẫn.,Tom da tu van.
Tom thích uống.,Tom thich uong.
Tom đánh mất điện thoại.,Tom danh mat dien thoai.
Tom đọc Kinh Thánh.,Tom doc Kinh Thanh.
Tom nói anh ấy bận.,Tom noi anh ay ban.
Tom ở lại với tôi.,Tom o lai voi toi.
Tom đã rất hoảng sợ.,Tom da rat hoang so.
